slug,en,fr,pl,th,km
all-selected-already-in-sequence,All selected items are already in this sequence,Tous les éléments sélectionnés sont déjà dans cette séquence,Wszystkie wybrane elementy są już w tej sekwencji,รายการที่เลือกทั้งหมดอยู่ในลำดับนี้แล้ว,ធាតុដែលបានជ្រើសទាំងអស់មាននៅក្នុងលំដាប់នេះរួចហើយ
already-exists-continue,already exists. Continue anyway?,existe déjà. Continuer quand même ?,już istnieje. Kontynuować mimo to?,มีอยู่แล้ว ดำเนินการต่อหรือไม่?,មានរួចហើយ។ បន្តទេ?
already-in-assignment,already in assignment,déjà dans le devoir,już w zadaniu,อยู่ในงานที่มอบหมายแล้ว,មាននៅក្នុងកិច្ចការរួចហើយ
already-in-sequence,This item is already in the sequence,Cet élément est déjà dans la séquence,Ten element jest już w sekwencji,รายการนี้อยู่ในลำดับแล้ว,ធាតុនេះមាននៅក្នុងលំដាប់រួចហើយ
app-specific-dashboard,App Specific Dashboard,Tableau de bord spécifique à l’application,Panel specyficzny dla aplikacji,แดชบอร์ดเฉพาะแอป,ផ្ទាំងគ្រប់គ្រងជាក់លាក់តាមកម្មវិធី
applying-key,Applying Key,Application de la clé…,Stosowanie klucza…,กำลังใช้คีย์…,កំពុងអនុវត្តសោ…
archive-assignment-confirm-intro,"Choose how to archive ""{name}"". Nothing is permanently deleted — you can restore it later from archived assignments.",Choisissez comment archiver « {name} ». Rien n’est supprimé définitivement — vous pourrez le restaurer plus tard depuis les devoirs archivés.,Wybierz sposób archiwizacji „{name}”. Nic nie zostanie trwale usunięte — możesz później przywrócić to z zarchiwizowanych zadań.,"เลือกวิธีเก็บถาวร ""{name}"" ไม่มีการลบถาวร — คุณสามารถกู้คืนได้ในภายหลังจากงานที่มอบหมายที่เก็บถาวร","ជ្រើសរើសរបៀបទុកជាឯកសារ ""{name}""។ គ្មានអ្វីត្រូវបានលុបជាអចិន្ត្រៃយ៍ទេ — អ្នកអាចស្តារឡើងវិញពីកិច្ចការដែលបានទុកជាឯកសារនៅពេលក្រោយ។"
archive-assignment-confirm-title,Archive this assignment?,Archiver ce devoir ?,Zarchiwizować to zadanie?,เก็บถาวรงานที่มอบหมายนี้หรือไม่?,ទុកកិច្ចការនេះជាឯកសារ?
archive-assignment-for-all-description,Hides this assignment from your list and removes it from all assigned groups ({groups}). Students will no longer see this assignment.,Masque ce devoir de votre liste et le retire de tous les groupes assignés ({groups}). Les élèves ne le verront plus.,Ukrywa to zadanie z Twojej listy i usuwa je ze wszystkich przypisanych grup ({groups}). Uczniowie nie będą go już widzieć.,ซ่อนงานที่มอบหมายนี้จากรายการของคุณและนำออกจากกลุ่มที่มอบหมายทั้งหมด ({groups}) นักเรียนจะไม่เห็นอีกต่อไป,លាក់កិច្ចការនេះពីបញ្ជីរបស់អ្នក និងដកចេញពីក្រុមដែលបានកំណត់ទាំងអស់ ({groups})។ សិស្សនឹងមិនឃើញវាទៀតទេ។
archive-assignment-for-all-description-draft,"Hides this assignment from your list. No groups are assigned, so this has the same effect as archiving for me.","Masque ce devoir de votre liste. Aucun groupe n’est assigné, donc l’effet est le même que « archiver pour moi ».","Ukrywa to zadanie z Twojej listy. Nie przypisano żadnych grup, więc efekt jest taki sam jak „archiwizuj dla mnie”.",ซ่อนงานที่มอบหมายนี้จากรายการของคุณ ไม่มีกลุ่มที่มอบหมาย จึงมีผลเช่นเดียวกับการเก็บถาวรสำหรับฉัน,លាក់កិច្ចការនេះពីបញ្ជីរបស់អ្នក។ មិនមានក្រុមណាត្រូវបានកំណត់ទេ ដូច្នេះមានប្រសិទ្ធភាពដូចការទុកជាឯកសារសម្រាប់ខ្ញុំ។
archive-assignment-for-all-label,Archive for all,Archiver pour tous,Archiwizuj dla wszystkich,เก็บถาวรสำหรับทุกคน,ទុកជាឯកសារសម្រាប់ទាំងអស់
archive-assignment-for-me-description,Hides this assignment from your list only. Students in assigned groups ({groups}) will still see and can work on it until you remove those groups from the assignment.,Masque ce devoir de votre liste uniquement. Les élèves des groupes assignés ({groups}) pourront encore le voir et y travailler jusqu’à ce que vous retiriez ces groupes du devoir.,"Ukrywa to zadanie tylko z Twojej listy. Uczniowie w przypisanych grupach ({groups}) nadal będą je widzieć i mogli nad nim pracować, dopóki nie usuniesz tych grup z zadania.",ซ่อนงานที่มอบหมายนี้จากรายการของคุณเท่านั้น นักเรียนในกลุ่มที่มอบหมาย ({groups}) ยังเห็นและทำได้จนกว่าคุณจะนำกลุ่มเหล่านั้นออกจากงาน,លាក់កិច្ចការនេះពីបញ្ជីរបស់អ្នកតែប៉ុណ្ណោះ។ សិស្សក្នុងក្រុមដែលបានកំណត់ ({groups}) នៅតែអាចមើល និងធ្វើការលើវា រហូតដល់អ្នកដកក្រុមទាំងនោះចេញពីកិច្ចការ។
archive-assignment-for-me-description-draft,"Hides this assignment from your active list. It is not published to any groups, so students are not affected.","Masque ce devoir de votre liste active. Il n’est publié pour aucun groupe, donc les élèves ne sont pas concernés.","Ukrywa to zadanie z aktywnej listy. Nie jest opublikowane dla żadnych grup, więc uczniowie nie są dotknięci.",ซ่อนงานที่มอบหมายนี้จากรายการที่ใช้งาน ไม่ได้เผยแพร่ไปยังกลุ่มใด นักเรียนจึงไม่ได้รับผลกระทบ,លាក់កិច្ចការនេះពីបញ្ជីសកម្ម។ វាមិនត្រូវបានផ្សព្វផ្សាយទៅក្រុមណាទេ ដូច្នេះសិស្សមិនរងផលប៉ះពាល់។
archive-assignment-for-me-label,Archive for me,Archiver pour moi,Archiwizuj dla mnie,เก็บถาวรสำหรับฉัน,ទុកជាឯកសារសម្រាប់ខ្ញុំ
archive-assignment-n-groups,{count} groups,{count} groupes,{count} grup(y),{count} กลุ่ม,{count} ក្រុម
archive-assignment-one-group,1 group,1 groupe,1 grupa,1 กลุ่ม,1 ក្រុម
archive-group-confirm-description,This group has {count} student(s). Archiving hides the group from your active list. Students remain in the group and can still see assignments published to it until you unassign the group. You can restore the group later from archived groups.,Ce groupe compte {count} élève(s). L’archivage le masque de votre liste active. Les élèves restent dans le groupe et peuvent encore voir les devoirs publiés pour ce groupe jusqu’à ce que vous le retiriez. Vous pourrez restaurer le groupe plus tard depuis les groupes archivés.,"Ta grupa ma {count} ucznia/uczniów. Archiwizacja ukrywa ją z aktywnej listy. Uczniowie pozostają w grupie i mogą nadal widzieć zadania opublikowane dla niej, dopóki jej nie usuniesz. Możesz później przywrócić grupę z zarchiwizowanych grup.",กลุ่มนี้มีนักเรียน {count} คน การเก็บถาวรจะซ่อนจากรายการที่ใช้งาน นักเรียนยังอยู่ในกลุ่มและอาจยังเห็นงานที่เผยแพร่ไปยังกลุ่มจนกว่าคุณจะนำกลุ่มออก คุณสามารถกู้คืนกลุ่มได้ในภายหลังจากกลุ่มที่เก็บถาวร,ក្រុមនេះមានសិស្ស {count} នាក់។ ការទុកជាឯកសារលាក់វាពីបញ្ជីសកម្ម។ សិស្សនៅតែស្ថិតក្នុងក្រុម និងអាចមើលកិច្ចការដែលបានផ្សព្វផ្សាយទៅវា រហូតដល់អ្នកដកក្រុម។ អ្នកអាចស្តារក្រុមពីក្រុមដែលបានទុកជាឯកសារនៅពេលក្រោយ។
archive-group-confirm-title,"Archive group ""{name}""?",Archiver le groupe « {name} » ?,Zarchiwizować grupę „{name}”?,"เก็บถาวรกลุ่ม ""{name}"" หรือไม่?","ទុកក្រុម ""{name}"" ជាឯកសារ?"
archive-sequence,Archive Sequence,Archiver la séquence,Archiwizuj sekwencję,เก็บถาวรลำดับ,ទុកលំដាប់ជាឯកសារ
archive-sequence-confirm,Archive this sequence? It will be removed from your active sequences. You can restore it later.,Archiver cette séquence ? Elle sera retirée de vos séquences actives. Vous pourrez la restaurer plus tard.,Zarchiwizować tę sekwencję? Zostanie usunięta z aktywnych sekwencji. Możesz ją później przywrócić.,เก็บถาวรลำดับนี้หรือไม่? จะถูกลบออกจากลำดับที่ใช้งาน คุณสามารถกู้คืนได้ในภายหลัง,ទុកលំដាប់នេះជាឯកសារ? វានឹងត្រូវបានដកចេញពីលំដាប់សកម្ម។ អ្នកអាចស្តារវានៅពេលក្រោយ។
assessment,Assessment,Évaluation,Ocenianie,การประเมิน,ការវាយតម្លៃ
assign-to-groups-optional-hint,You can assign classes now or add them later from the assignments page.,Vous pouvez assigner des classes maintenant ou les ajouter plus tard depuis la page des devoirs.,Możesz przypisać klasy teraz lub dodać je później ze strony zadań.,คุณสามารถมอบหมายชั้นเรียนตอนนี้ หรือเพิ่มทีหลังจากหน้างานที่มอบหมาย,អ្នកអាចកំណត់ថ្នាក់ឥឡូវនេះ ឬបន្ថែមពួកវាពីទំព័រកិច្ចការនៅពេលក្រោយ។
assignment-status,Assignment Status,Statut du devoir,Status zadania,สถานะงานที่มอบหมาย,ស្ថានភាពកិច្ចការ
assignment-title-required-for-draft,Enter an assignment title to save a draft.,Saisissez un titre de devoir pour enregistrer un brouillon.,"Wprowadź tytuł zadania, aby zapisać wersję roboczą.",ใส่ชื่องานที่มอบหมายเพื่อบันทึกฉบับร่าง,បញ្ចូលចំណងជើងកិច្ចការដើម្បីរក្សាទុកសេចក្តីព្រាង។
assignment-updated-successfully,Assignment updated successfully,Devoir mis à jour avec succès,Zadanie zaktualizowane pomyślnie,อัปเดตงานที่มอบหมายสำเร็จ,បានធ្វើបច្ចុប្បន្នភាពកិច្ចការដោយជោគជ័យ
basic-information,Basic Information,Informations de base,Informacje podstawowe,ข้อมูลพื้นฐาน,ព័ត៌មានមូលដ្ឋាន
browse-and-select-content-from-library,Browse and select content from the library,Parcourir et sélectionner du contenu dans la bibliothèque,Przeglądaj i wybieraj treści z biblioteki,เรียกดูและเลือกเนื้อหาจากคลัง,រកមើល និងជ្រើសមាតិកាពីបណ្ណាល័យ
bulk-archive-students-confirm-description,Archived students are hidden from your active list. They are not deleted and remain in their groups. Students may still see assignments published to those groups. Restore them anytime from the archived students section.,Les élèves archivés sont masqués de votre liste active. Ils ne sont pas supprimés et restent dans leurs groupes. Ils peuvent encore voir les devoirs publiés pour ces groupes. Restaurez-les à tout moment depuis la section des élèves archivés.,Zarchiwizowani uczniowie są ukryci na aktywnej liście. Nie są usuwani i pozostają w grupach. Mogą nadal widzieć zadania opublikowane dla tych grup. Przywróć ich w dowolnym momencie z sekcji zarchiwizowanych uczniów.,นักเรียนที่เก็บถาวรจะถูกซ่อนจากรายการที่ใช้งาน ไม่ถูกลบและยังอยู่ในกลุ่ม อาจยังเห็นงานที่เผยแพร่ไปยังกลุ่มเหล่านั้น กู้คืนได้ทุกเมื่อจากส่วนนักเรียนที่เก็บถาวร,សិស្សដែលបានទុកជាឯកសារត្រូវបានលាក់ពីបញ្ជីសកម្ម។ ពួកគេមិនត្រូវបានលុប និងនៅតែស្ថិតក្នុងក្រុម។ ពួកគេអាចនៅតែមើលកិច្ចការដែលបានផ្សព្វផ្សាយទៅក្រុមទាំងនោះ។ ស្តារពួកគេពីផ្នែកសិស្សដែលបានទុកជាឯកសារនៅពេលណាក៏បាន។
bulk-archive-students-confirm-title,Archive {count} selected student(s)?,Archiver {count} élève(s) sélectionné(s) ?,Zarchiwizować {count} wybranych uczniów?,เก็บถาวรนักเรียนที่เลือก {count} คนหรือไม่?,ទុកសិស្សដែលបានជ្រើស {count} នាក់ជាឯកសារ?
bulk-duplicate-already-exists,Already exists:,Existe déjà :,Już istnieje:,มีอยู่แล้ว:,មានរួចហើយ៖
bulk-duplicate-repeated-in-upload,Repeated in upload:,Répété dans le fichier :,Powtórzone w przesłanym pliku:,ซ้ำในไฟล์อัปโหลด:,ស្ទួនក្នុងឯកសារផ្ទុកឡើង៖
bulk-duplicate-skipped-reason,duplicate names,noms en double,zduplikowane nazwy,ชื่อซ้ำ,ឈ្មោះស្ទួន
bulk-duplicate-students-intro,{count} duplicate name(s) found.,{count} nom(s) en double trouvé(s).,Znaleziono {count} zduplikowanych nazw.,พบชื่อซ้ำ {count} รายการ,រកឃើញឈ្មោះស្ទួន {count}។
bulk-duplicate-students-summary,Create {create} new student(s) and skip {skip} duplicate(s)?,Créer {create} nouvel/nouveaux élève(s) et ignorer {skip} doublon(s) ?,Utworzyć {create} nowych uczniów i pominąć {skip} duplikat(ów)?,สร้างนักเรียนใหม่ {create} คนและข้ามรายการซ้ำ {skip} รายการหรือไม่?,បង្កើតសិស្សថ្មី {create} នាក់ និងរំលងស្ទួន {skip}?
complete-profile-information-for,Complete Profile Information For,Compléter les informations du profil pour,Uzupełnij informacje profilu dla,กรอกข้อมูลโปรไฟล์ให้ครบสำหรับ,បំពេញព័ត៌មានប្រវត្តិរូបសម្រាប់
complete-required-steps-before-saving,Complete all required steps before saving.,Terminez toutes les étapes obligatoires avant d’enregistrer.,Ukończ wszystkie wymagane kroki przed zapisaniem.,ทำขั้นตอนที่จำเป็นทั้งหมดให้ครบก่อนบันทึก,បំពេញជំហានចាំបាច់ទាំងអស់មុនពេលរក្សាទុក។
content-added-to-assignment,Content added to assignment,Contenu ajouté au devoir,Treść dodana do zadania,เพิ่มเนื้อหาไปยังงานที่มอบหมายแล้ว,បានបន្ថែមមាតិកាទៅកិច្ចការ
content-already-in-assignment,Content is already in this assignment,Le contenu est déjà dans ce devoir,Treść jest już w tym zadaniu,เนื้อหานี้อยู่ในงานที่มอบหมายนี้แล้ว,មាតិកាមាននៅក្នុងកិច្ចការនេះរួចហើយ
content-info,Content info,Infos sur le contenu,Informacje o treści,ข้อมูลเนื้อหา,ព័ត៌មានមាតិកា
content-type,Content type,Type de contenu,Typ treści,ประเภทเนื้อหา,ប្រភេទមាតិកា
continue-anyway,Continue anyway,Continuer quand même,Kontynuuj mimo to,ดำเนินการต่อ,បន្តទៅមុខ
continue-browsing,Continue browsing,Continuer la navigation,Kontynuuj przeglądanie,เรียกดูต่อ,បន្តរកមើល
continue-without-adding,Continue without adding,Continuer sans ajouter,Kontynuuj bez dodawania,ดำเนินการต่อโดยไม่เพิ่ม,បន្តដោយមិនបន្ថែម
create-a-copy-of,Create A Copy Of,Créer une copie de,Utwórz kopię,สร้างสำเนาของ,បង្កើតច្បាប់ចម្លងនៃ
create-all-accounts,Create All Accounts,Créer tous les comptes,Utwórz wszystkie konta,สร้างบัญชีทั้งหมด,បង្កើតគណនីទាំងអស់
csv-required-columns,Csv Required Columns,Colonnes CSV obligatoires,Wymagane kolumny CSV,คอลัมน์ CSV ที่จำเป็น,ជួរឈរ CSV ដែលត្រូវការ
current-item-sequence-count,Current item/sequence ({count}),Élément/séquence actuel(le) ({count}),Bieżący element/sekwencja ({count}),รายการ/ลำดับปัจจุบัน ({count}),ធាតុ/លំដាប់បច្ចុប្បន្ន ({count})
date-format-placeholder,mm/dd/yyyy,jj/mm/aaaa,dd/mm/rrrr,วว/ดด/ปปปป,ថ្ងៃ/ខែ/ឆ្នាំ
describe-your-sequence,Describe Your Sequence,Décrivez votre séquence,Opisz swoją sekwencję,อธิบายลำดับของคุณ,ពិពណ៌នាលំដាប់របស់អ្នក
discard,Discard,Abandonner,Odrzuć,ละทิ้ง,បោះបង់
discard-changes,Discard changes?,Abandonner les modifications ?,Odrzucić zmiany?,ละทิ้งการเปลี่ยนแปลงหรือไม่?,បោះបង់ការផ្លាស់ប្តូរ?
discover-customise-and-add-content-to-your-assignments,Discover Customise And Add Content To Your Assignments,"Découvrez, personnalisez et ajoutez du contenu à vos devoirs","Odkrywaj, dostosowuj i dodawaj treści do zadań",ค้นหา ปรับแต่ง และเพิ่มเนื้อหาไปยังงานที่มอบหมายของคุณ,ស្វែងរក ប្ដូរតាមបំណង និងបន្ថែមមាតិកាទៅកិច្ចការរបស់អ្នក
download-login,Download login,Télécharger la connexion,Pobierz dane logowania,ดาวน์โหลดข้อมูลเข้าสู่ระบบ,ទាញយកការចូល
download-login-code,Download login,Télécharger le code de connexion,Pobierz kod logowania,ดาวน์โหลดรหัสเข้าสู่ระบบ,ទាញយកលេខកូដចូល
download-template,Download Template,Télécharger le modèle,Pobierz szablon,ดาวน์โหลดเทมเพลต,ទាញយកគំរូ
draft-saved-successfully,Draft saved successfully,Brouillon enregistré avec succès,Wersja robocza zapisana pomyślnie,บันทึกฉบับร่างสำเร็จ,បានរក្សាទុកសេចក្តីព្រាងដោយជោគជ័យ
drag-content-here,Drag content here to add items,Glissez du contenu ici pour ajouter des éléments,"Przeciągnij treść tutaj, aby dodać elementy",ลากเนื้อมาที่นี่เพื่อเพิ่มรายการ,អូសមាតិកាមកទីនេះដើម្បីបន្ថែមធាតុ
drop-csv-file-here,Drop Csv File Here,Déposez le fichier CSV ici,Upuść plik CSV tutaj,วางไฟล์ CSV ที่นี่,ទម្លាក់ឯកសារ CSV នៅទីនេះ
drop-here,Drop Here,Déposer ici,Upuść tutaj,วางที่นี่,ទម្លាក់នៅទីនេះ
duplicate-name-description,A student named,Un élève nommé,Uczeń o imieniu,นักเรียนชื่อ,សិស្សឈ្មោះ
duplicate-name-title,Name already exists,Ce nom existe déjà,Nazwa już istnieje,มีชื่อนี้อยู่แล้ว,ឈ្មោះមានរួចហើយ
edit-feedback,Edit Feedback,Modifier le commentaire,Edytuj opinię,แก้ไขข้อเสนอแนะ,កែមតិកែលម្អ
edit-student,Edit Student,Modifier l’élève,Edytuj ucznia,แก้ไขนักเรียน,កែសិស្ស
edit-students-details,Edit Students Details,Modifier les détails de l’élève,Edytuj dane ucznia,แก้ไขรายละเอียดนักเรียน,កែព័ត៌មានលម្អិតសិស្ស
encryption-key-invalid-badge,Encryption key-word may be incorrect,Le mot-clé de chiffrement est peut-être incorrect,Słowo kluczowe szyfrowania może być nieprawidłowe,คำสำคัญการเข้ารหัสอาจไม่ถูกต้อง,ពាក្យគន្លឹះអ៊ីនគ្រីបប្រហែលមិនត្រឹមត្រូវ
encryption-key-invalid-banner,Student information could not be decrypted. Check that your encryption key-word is correct.,Les informations des élèves n’ont pas pu être déchiffrées. Vérifiez que votre mot-clé de chiffrement est correct.,"Nie udało się odszyfrować informacji o uczniach. Sprawdź, czy słowo kluczowe szyfrowania jest poprawne.",ถอดรหัสข้อมูลนักเรียนไม่ได้ ตรวจสอบว่าคำสำคัญการเข้ารหัสถูกต้อง,មិនអាចឌិគ្រីបព័ត៌មានសិស្សបានទេ។ ពិនិត្យថាពាក្យគន្លឹះអ៊ីនគ្រីបរបស់អ្នកត្រឹមត្រូវ។
encryption-key-invalid-hint,This key-word could not decrypt student information. Try the key-word you used when creating or linking students.,Ce mot-clé n’a pas pu déchiffrer les informations des élèves. Essayez le mot-clé utilisé lors de la création ou de la liaison des élèves.,To słowo kluczowe nie odszyfrowało informacji o uczniach. Spróbuj słowa użytego przy tworzeniu lub łączeniu uczniów.,คำสำคัญนี้ถอดรหัสข้อมูลนักเรียนไม่ได้ ลองใช้คำที่คุณใช้ตอนสร้างหรือเชื่อมโยงนักเรียน,ពាក្យគន្លឹះនេះមិនអាចឌិគ្រីបព័ត៌មានសិស្សបានទេ។ សាកល្បងពាក្យដែលអ្នកបានប្រើពេលបង្កើត ឬភ្ជាប់សិស្ស។
encryption-key-missing-badge,Encryption key-word not set,Mot-clé de chiffrement non défini,Nie ustawiono słowa kluczowego szyfrowania,ยังไม่ได้ตั้งคำสำคัญการเข้ารหัส,មិនទាន់កំណត់ពាក្យគន្លឹះអ៊ីនគ្រីប
encryption-key-missing-banner,Student information is shown as anonymous IDs until you enter your encryption key-word.,Les informations des élèves s’affichent comme des identifiants anonymes tant que vous n’avez pas saisi votre mot-clé de chiffrement.,"Informacje o uczniach są pokazywane jako anonimowe ID, dopóki nie wprowadzisz słowa kluczowego szyfrowania.",ข้อมูลนักเรียนจะแสดงเป็นรหัสนิรนามจนกว่าคุณจะใส่คำสำคัญการเข้ารหัส,ព័ត៌មានសិស្សបង្ហាញជា ID អនាមិក រហូតដល់អ្នកបញ្ចូលពាក្យគន្លឹះអ៊ីនគ្រីប។
encryption-key-required-hint,An encryption key-word is required to view student information.,Un mot-clé de chiffrement est requis pour voir les informations des élèves.,Do wyświetlenia informacji o uczniach wymagane jest słowo kluczowe szyfrowania.,ต้องมีคำสำคัญการเข้ารหัสเพื่อดูข้อมูลนักเรียน,ត្រូវការពាក្យគន្លឹះអ៊ីនគ្រីបដើម្បីមើលព័ត៌មានសិស្ស។
enter-sequence-title,Enter Sequence Title,Saisir le titre de la séquence,Wprowadź tytuł sekwencji,ใส่ชื่อลำดับ,បញ្ចូលចំណងជើងលំដាប់
excel-save-as-csv-first,Excel files are listed for convenience — please save as CSV and upload that file.,Les fichiers Excel sont listés pour commodité — veuillez enregistrer en CSV et téléverser ce fichier.,Pliki Excel są widoczne dla wygody — zapisz jako CSV i prześlij ten plik.,ไฟล์ Excel แสดงไว้เพื่อความสะดวก — โปรดบันทึกเป็น CSV แล้วอัปโหลดไฟล์นั้น,ឯកសារ Excel ត្រូវបានរាយសម្រាប់ភាពងាយស្រួល — សូមរក្សាទុកជា CSV ហើយផ្ទុកឡើងឯកសារនោះ។
favorites,Favorites,Favoris,Ulubione,รายการโปรด,សំណព្វ
favorites-only,Favorites only,Favoris uniquement,Tylko ulubione,เฉพาะรายการโปรด,សំណព្វតែប៉ុណ្ណោះ
feedback,Feedback,Commentaires,Opinia,ข้อเสนอแนะ,មតិកែលម្អ
fill-required-fields-to-continue,Fill in all required fields to continue.,Remplissez tous les champs obligatoires pour continuer.,"Wypełnij wszystkie wymagane pola, aby kontynuować.",กรอกช่องที่จำเป็นทั้งหมดเพื่อดำเนินการต่อ,បំពេញវាលចាំបាច់ទាំងអស់ដើម្បីបន្ត។
go-to-assignment,Go to assignment,Aller au devoir,Przejdź do zadania,ไปที่งานที่มอบหมาย,ទៅកាន់កិច្ចការ
graded,Graded,Noté,Ocenione,ให้คะแนนแล้ว,បានដាក់ពិន្ទុ
group-created-successfully,Group created successfully,Groupe créé avec succès,Grupa utworzona pomyślnie,สร้างกลุ่มสำเร็จ,បានបង្កើតក្រុមដោយជោគជ័យ
group-updated-successfully,Group updated successfully,Groupe mis à jour avec succès,Grupa zaktualizowana pomyślnie,อัปเดตกลุ่มสำเร็จ,បានធ្វើបច្ចុប្បន្នភាពក្រុមដោយជោគជ័យ
homework,Homework,Devoirs,Praca domowa,การบ้าน,កិច្ចការផ្ទះ
i-confirm-consent-collected,I Confirm Consent Collected,Je confirme que le consentement a été recueilli,"Potwierdzam, że uzyskano zgodę",ฉันยืนยันว่าได้รับความยินยอมแล้ว,ខ្ញុំបញ្ជាក់ថាបានប្រមូលការយល់ព្រម
individual-submission,Individual Submission,Soumission individuelle,Indywidualne zgłoszenie,การส่งรายบุคคล,ការដាក់ស្នើបុគ្គល
items-added,added,ajouté(s),dodano,เพิ่มแล้ว,បានបន្ថែម
items-added-to-assignment,item(s) added to,élément(s) ajouté(s) à,element(y) dodane do,รายการที่เพิ่มไปยัง,ធាតុបានបន្ថែមទៅ
learning,Learning,Apprentissage,Nauka,การเรียนรู้,ការរៀន
learning-goals-and-description,Learning Goals And Description,Objectifs d’apprentissage et description,Cele uczenia się i opis,เป้าหมายการเรียนรู้และคำอธิบาย,គោលដៅសិក្សា និងការពិពណ៌នា
login-code,Login Code,Code de connexion,Kod logowania,รหัสเข้าสู่ระบบ,លេខកូដចូល
manual-entry,Manual Entry,Saisie manuelle,Wpis ręczny,ป้อนด้วยตนเอง,បញ្ចូលដោយដៃ
modify-the-group-details,Modify the group details,Modifier les détails du groupe,Zmień szczegóły grupy,แก้ไขรายละเอียดกลุ่ม,កែព័ត៌មានលម្អិតក្រុម
new-assignment-created-with-content,"A new assignment ""{name}"" has been created and ""content"" has been successfully added to it.",Un nouveau devoir « {name} » a été créé et le « contenu » y a été ajouté avec succès.,Utworzono nowe zadanie „{name}” i pomyślnie dodano do niego „treść”.,"สร้างงานที่มอบหมายใหม่ ""{name}"" และเพิ่ม ""เนื้อหา"" สำเร็จแล้ว","កិច្ចការថ្មី ""{name}"" ត្រូវបានបង្កើត ហើយ ""មាតិកា"" ត្រូវបានបន្ថែមដោយជោគជ័យ។"
new-assignment-successfully-created,New assignment has been successfully created,Le nouveau devoir a été créé avec succès,Nowe zadanie zostało pomyślnie utworzone,สร้างงานที่มอบหมายใหม่สำเร็จแล้ว,កិច្ចការថ្មីត្រូវបានបង្កើតដោយជោគជ័យ
new-assignment-title,New Assignment Title,Titre du nouveau devoir,Tytuł nowego zadania,ชื่องานที่มอบหมายใหม่,ចំណងជើងកិច្ចការថ្មី
new-login-code-is-ready,New login code is ready,Le nouveau code de connexion est prêt,Nowy kod logowania jest gotowy,รหัสเข้าสู่ระบบใหม่พร้อมแล้ว,លេខកូដចូលថ្មីរួចរាល់
