Page Name,English Text,pl,th,fr,de,lv,sk,km,es,pt,nl
NEW - Admin Page,Assign students to group,Przypisz uczniów do grupy,มอบหมายให้นักเรียนเข้ากลุ่ม,Affecter les étudiants à un groupe,Ordnen Sie die Schüler einer Gruppe zu,Piešķiriet studentus grupai,Priraďte študentov do skupiny,ចាត់សិស្សជាក្រុម,Asignar estudiantes al grupo,Atribuir alunos ao grupo,Wijs leerlingen toe aan groepen
NEW - Admin Page,Manage students in,Zarządzaj uczniami w,บริหารจัดการนักศึกษาใน,Gérer les étudiants dans,Verwalten Sie Studenten in,Pārvaldīt studentus,Spravovať študentov v,គ្រប់គ្រងសិស្សនៅក្នុង,Gestionar estudiantes en,Gerenciar alunos em,Beheer studenten in
NEW - Admin Page,Drag students between panels to add/remove them from the group,"Przeciągaj uczniów pomiędzy panelami, aby dodać/usunąć ich z grupy",ลากนักเรียนระหว่างแผงเพื่อเพิ่ม/ลบออกจากกลุ่ม,Faites glisser les étudiants entre les panneaux pour les ajouter/supprimer du groupe,"Ziehen Sie Schüler zwischen Panels, um sie zur Gruppe hinzuzufügen bzw. daraus zu entfernen","Velciet skolēnus starp paneļiem, lai pievienotu/noņemtu tos no grupas",Potiahnutím študentov medzi panelmi ich pridáte alebo odoberiete zo skupiny,អូសសិស្សនៅចន្លោះបន្ទះដើម្បីបន្ថែម/យកវាចេញពីក្រុម,Arrastre estudiantes entre paneles para agregarlos o eliminarlos del grupo,Arraste os alunos entre os painéis para adicioná-los/removê-los do grupo,Sleep leerlingen tussen panelen om ze toe te voegen aan of te verwijderen uit de groep
NEW - Admin Page,Available students,Dostępni studenci,นักเรียนว่าง,Étudiants disponibles,Verfügbare Studenten,Pieejamie studenti,Dostupní študenti,សិស្សដែលអាចប្រើបាន,Estudiantes disponibles,Alunos disponíveis,Beschikbare studenten
NEW - Admin Page,Search available students,Wyszukaj dostępnych studentów,ค้นหานักเรียนที่มีอยู่,Rechercher les étudiants disponibles,Suchen Sie nach verfügbaren Studenten,Meklēt pieejamos studentus,Vyhľadajte dostupných študentov,ស្វែងរកសិស្សដែលមាន,Buscar estudiantes disponibles,Pesquisar alunos disponíveis,Zoek beschikbare studenten
NEW - Admin Page,No available students,Brak dostępnych uczniów,ไม่มีนักเรียนว่าง,Aucun étudiant disponible,Keine verfügbaren Studenten,Nav pieejami studenti,Žiadni dostupní študenti,មិនមានសិស្សដែលអាចប្រើបានទេ។,No hay estudiantes disponibles,Nenhum aluno disponível,Geen beschikbare studenten
NEW - Admin Page,Search group students,Szukaj uczniów w grupie,ค้นหานักเรียนกลุ่ม,Rechercher des étudiants du groupe,Gruppenstudenten suchen,Meklēt grupas studentus,Vyhľadajte študentov skupiny,ស្វែងរកក្រុមសិស្ស,Buscar estudiantes del grupo,Pesquisar alunos do grupo,Zoek groep studenten
NEW - Admin Page,No students in group,Brak uczniów w grupie,ไม่มีนักเรียนในกลุ่ม,Aucun étudiant dans le groupe,Keine Schüler in der Gruppe,Grupā nav skolēnu,Žiadni študenti v skupine,មិនមានសិស្សជាក្រុមទេ។,No hay estudiantes en el grupo.,Nenhum aluno no grupo,Geen studenten in groep
NEW - Admin Page,Add selected,Dodaj wybrane,เพิ่มที่เลือกแล้ว,Ajouter la sélection,Ausgewählte hinzufügen,Pievienot atlasīto,Pridať vybraté,បន្ថែមដែលបានជ្រើសរើស,Agregar seleccionado,Adicionar selecionado,Geselecteerde toevoegen
NEW - Admin Page,Remove selected,Usuń wybrane,ลบที่เลือกไว้,Supprimer la sélection,Ausgewählte entfernen,Noņemt atlasīto,Odstrániť vybraté,ដកចេញដែលបានជ្រើសរើស,Eliminar seleccionado,Remover selecionado,Geselecteerde verwijderen
NEW - Admin Page,Add more students,Dodaj więcej uczniów,เพิ่มนักเรียนมากขึ้น,Ajouter plus d'étudiants,Fügen Sie weitere Schüler hinzu,Pievienojiet vairāk studentu,Pridajte ďalších študentov,បន្ថែមសិស្សបន្ថែមទៀត,Agregar más estudiantes,Adicione mais alunos,Voeg meer studenten toe
NEW - Admin Page,Students,Studenci,นักเรียน,Étudiants,Studenten,Studenti,Študenti,សិស្ស,estudiantes,Alunos,Studenten
NEW - Admin Page,Students in group,Studenci w grupie,นักเรียนในกลุ่ม,Étudiants en groupe,Studenten in der Gruppe,Studenti grupā,Študenti v skupine,សិស្សជាក្រុម,estudiantes en grupo,Alunos em grupo,Studenten in groep
NEW - Admin Page,Add group,Dodaj grupę,เพิ่มกลุ่ม,Ajouter un groupe,Gruppe hinzufügen,Pievienot grupu,Pridať skupinu,បន្ថែមក្រុម,Agregar grupo,Adicionar grupo,Groep toevoegen
NEW - Admin Page,Rows per page,Wiersze na stronę,แถวต่อหน้า,Lignes par page,Zeilen pro Seite,Rindas vienā lapā,Počet riadkov na stránku,ជួរដេកក្នុងមួយទំព័រ,Filas por página,Linhas por página,Rijen per pagina
NEW - Admin Page,Edit,Edytuj,แก้ไข,Modifier,Bearbeiten,Rediģēt,Upraviť,កែសម្រួល,Editar,Editar,Bewerken
NEW - Admin Page,Admins,Administratorzy,ผู้ดูแลระบบ,Administrateurs,Administratoren,Admini,Správcovia,អ្នកគ្រប់គ្រង,Administradores,Administradores,Beheerders
NEW - Admin Page,No one has been assigned this role,Nikomu nie przydzielono tej roli,ไม่มีใครได้รับมอบหมายบทบาทนี้,Personne n'a reçu ce rôle,Diese Rolle wurde niemandem zugewiesen,Šī loma nevienam nav piešķirta,Táto úloha nebola pridelená nikomu,គ្មាននរណាម្នាក់ត្រូវបានចាត់តាំងតួនាទីនេះទេ។,A nadie se le ha asignado este rol.,Ninguém foi designado para esta função,Niemand heeft deze rol toegewezen gekregen
NEW - Explore / Content Library Page,New sequence,Nowa sekwencja,ลำดับใหม่,Nouvelle séquence,Neue Sequenz,Jauna secība,Nová sekvencia,លំដាប់ថ្មី។,Nueva secuencia,Nova sequência,Nieuwe reeks
NEW - Explore / Content Library Page,My sequences,Moje sekwencje,ลำดับของฉัน,Mes séquences,Meine Sequenzen,Manas secības,Moje sekvencie,លំដាប់របស់ខ្ញុំ,Mis secuencias,Minhas sequências,Mijn reeksen
NEW - Explore / Content Library Page,Organize content into learning sequences,Organizuj treści w sekwencje edukacyjne,จัดระเบียบเนื้อหาเป็นลำดับการเรียนรู้,Organisez le contenu en séquences d’apprentissage,Organisieren Sie Inhalte in Lernsequenzen,Sakārtojiet saturu mācību secībās,Usporiadajte obsah do učebných sekvencií,រៀបចំខ្លឹមសារទៅក្នុងលំដាប់នៃការរៀន,Organizar el contenido en secuencias de aprendizaje.,Organize o conteúdo em sequências de aprendizagem,Organiseer de inhoud in leerreeksen
NEW - Explore / Content Library Page,Select a sequence,Wybierz sekwencję,เลือกลำดับ,Sélectionnez une séquence,Wählen Sie eine Sequenz aus,Izvēlieties secību,Vyberte sekvenciu,ជ្រើសរើសលំដាប់មួយ។,Seleccione una secuencia,Selecione uma sequência,Selecteer een reeks
NEW - Explore / Content Library Page,No sequences yet,Nie ma jeszcze sekwencji,ยังไม่มีลำดับเลย,Aucune séquence pour l'instant,Noch keine Sequenzen,Vēl nav secību,Zatiaľ žiadne sekvencie,មិនទាន់មានលំដាប់នៅឡើយ,Aún no hay secuencias,Ainda não há sequências,Nog geen reeksen
NEW - Explore / Content Library Page,Explore content library,Przeglądaj bibliotekę treści,สำรวจไลบรารีเนื้อหา,Explorer la bibliothèque de contenu,Entdecken Sie die Inhaltsbibliothek,Izpētiet satura bibliotēku,Preskúmajte knižnicu obsahu,រុករកបណ្ណាល័យមាតិកា,Explorar la biblioteca de contenidos,Explorar biblioteca de conteúdo,Ontdek de inhoudsbibliotheek
NEW - Explore / Content Library Page,"Discover, customise, and add content","Odkrywaj, dostosowuj i dodawaj treści",ค้นพบ ปรับแต่ง และเพิ่มเนื้อหา,"Découvrez, personnalisez et ajoutez du contenu","Inhalte entdecken, anpassen und hinzufügen","Atklājiet, pielāgojiet un pievienojiet saturu","Objavujte, prispôsobujte a pridávajte obsah",ស្វែងយល់ ប្ដូរតាមបំណង និងបន្ថែមខ្លឹមសារ,"Descubra, personalice y agregue contenido","Descubra, personalize e adicione conteúdo","Ontdek, pas inhoud aan en voeg inhoud toe"
NEW - Explore / Content Library Page,Search content title,Wyszukaj tytuł treści,ค้นหาชื่อเนื้อหา,Rechercher le titre du contenu,Inhaltstitel durchsuchen,Meklēt satura virsrakstu,Vyhľadajte názov obsahu,ស្វែងរកចំណងជើងមាតិកា,Título del contenido de búsqueda,Título do conteúdo de pesquisa,Titel van inhoud zoeken
NEW - Explore / Content Library Page,Popular tags,Popularne tagi,แท็กยอดนิยม,Balises populaires,Beliebte Tags,Populāras atzīmes,Populárne značky,ស្លាកពេញនិយម,Etiquetas populares,Tags populares,Populaire tags
NEW - Explore / Content Library Page,View as,Wyświetl jako,ดูเป็น,Afficher comme,Anzeigen als,Skatīt kā,Zobraziť ako,មើលជា,Ver como,Ver como,Bekijk als
NEW - Explore / Content Library Page,Sort,Sortuj,จัดเรียง,Trier,Sortieren,Kārtot,Triediť,តម្រៀប,ordenar,Classificar,Sorteren
NEW - Explore / Content Library Page,Filter,Filtruj,ตัวกรอง,Filtrer,Filtern,Filtrs,Filter,តម្រង,Filtrar,Filtro,Filteren
NEW - Explore / Content Library Page,Show,Pokaż,แสดง,Afficher,Zeigen,Rādīt,Zobraziť,បង្ហាញ,Mostrar,Mostrar,Toon
NEW - Explore / Content Library Page,Type,Wpisz,ประเภท,Tapez,Typ,Tips,Typ,ប្រភេទ,Tipo,Tipo,Typ
NEW - Explore / Content Library Page,Deselect all,Odznacz wszystko,ยกเลิกการเลือกทั้งหมด,Tout désélectionner,Alle abwählen,Noņemiet visu atlasi,Zrušte výber všetkých,ដកការជ្រើសរើសទាំងអស់។,Deseleccionar todo,Desmarcar tudo,Deselecteer alles
NEW - Explore / Content Library Page,Select all,Zaznacz wszystko,เลือกทั้งหมด,Tout sélectionner,Alles auswählen,Atlasiet visu,Vybrať všetko,ជ្រើសរើសទាំងអស់។,Seleccionar todo,Selecionar tudo,Selecteer alles
NEW - Explore / Content Library Page,item(s) selected,wybrane elementy,รายการที่เลือก,article(s) sélectionné(s),Artikel ausgewählt,atlasīts(-i) vienums(-i).,vybraté položky,ធាតុដែលបានជ្រើសរើស,elemento(s) seleccionado(s),itens selecionados,artikel(en) geselecteerd
NEW - Explore / Content Library Page,No item in this sequence,Brak elementu w tej sekwencji,ไม่มีรายการในลำดับนี้,Aucun élément dans cette séquence,Kein Artikel in dieser Reihenfolge,Šajā secībā nav neviena vienuma,Žiadna položka v tomto poradí,មិនមានធាតុនៅក្នុងលំដាប់នេះទេ។,Ningún elemento en esta secuencia,Nenhum item nesta sequência,Geen item in deze reeks
NEW - Explore / Content Library Page,Start browsing to add content,"Rozpocznij przeglądanie, aby dodać zawartość",เริ่มการเรียกดูเพื่อเพิ่มเนื้อหา,Commencez à naviguer pour ajouter du contenu,"Beginnen Sie mit der Suche, um Inhalte hinzuzufügen","Sāciet pārlūkošanu, lai pievienotu saturu",Začnite prehliadať a pridajte obsah,ចាប់ផ្តើមរុករកដើម្បីបន្ថែមមាតិកា,Comience a navegar para agregar contenido,Comece a navegar para adicionar conteúdo,Begin met browsen om inhoud toe te voegen
NEW - Explore / Content Library Page,Browse content,Przeglądaj zawartość,เรียกดูเนื้อหา,Parcourir le contenu,Inhalte durchsuchen,Pārlūkot saturu,Prehliadajte obsah,រកមើលមាតិកា,Explorar contenido,Navegue pelo conteúdo,Blader door de inhoud
NEW - Explore / Content Library Page,This action cannot be undone,Tej akcji nie można cofnąć,การดำเนินการนี้ไม่สามารถยกเลิกได้,Cette action ne peut pas être annulée,Diese Aktion kann nicht rückgängig gemacht werden,Šo darbību nevar atsaukt,Túto akciu nie je možné vrátiť späť,សកម្មភាពនេះមិនអាចត្រឡប់វិញបានទេ។,Esta acción no se puede deshacer.,Esta ação não pode ser desfeita,Deze actie kan niet ongedaan worden gemaakt
NEW - Explore / Content Library Page,Assignment created successfully,Zadanie zostało utworzone pomyślnie,สร้างงานสำเร็จแล้ว,Devoir créé avec succès,Aufgabe erfolgreich erstellt,Uzdevums veiksmīgi izveidots,Úloha bola úspešne vytvorená,កិច្ចការត្រូវបានបង្កើតដោយជោគជ័យ,Tarea creada exitosamente,Tarefa criada com sucesso,Opdracht succesvol aangemaakt
NEW - Explore / Content Library Page,Add item or sequence,Dodaj element lub sekwencję,เพิ่มรายการหรือลำดับ,Ajouter un élément ou une séquence,Element oder Sequenz hinzufügen,Pievienojiet vienumu vai secību,Pridajte položku alebo sekvenciu,បន្ថែមធាតុឬលំដាប់,Agregar elemento o secuencia,Adicionar item ou sequência,Voeg item of reeks toe
NEW - Explore / Content Library Page,Add to sequence,Dodaj do sekwencji,เพิ่มเข้าตามลำดับ,Ajouter à la séquence,Zur Sequenz hinzufügen,Pievienot secībai,Pridať do sekvencie,បន្ថែមទៅលំដាប់,Agregar a la secuencia,Adicionar à sequência,Voeg toe aan reeks
NEW - Explore / Content Library Page,Add to assignment,Dodaj do zadania,เพิ่มไปยังงาน,Ajouter au devoir,Zur Aufgabe hinzufügen,Pievienot uzdevumam,Pridať do úlohy,បន្ថែមទៅកិច្ចការ,Agregar a la tarea,Adicionar à tarefa,Toevoegen aan opdracht
NEW - Explore / Content Library Page,Choose where to add the selected content,"Wybierz miejsce, w którym chcesz dodać wybraną treść",เลือกตำแหน่งที่จะเพิ่มเนื้อหาที่เลือก,Choisissez où ajouter le contenu sélectionné,"Wählen Sie aus, wo der ausgewählte Inhalt hinzugefügt werden soll","Izvēlieties, kur pievienot atlasīto saturu","Vyberte, kam chcete pridať vybratý obsah",ជ្រើសរើសកន្លែងដែលត្រូវបន្ថែមមាតិកាដែលបានជ្រើសរើស,Elige dónde agregar el contenido seleccionado,Escolha onde adicionar o conteúdo selecionado,Kies waar u de geselecteerde inhoud wilt toevoegen
NEW - Explore / Content Library Page,Choose a sequence to add to,"Wybierz sekwencję, do której chcesz dodać",เลือกลำดับที่จะเพิ่ม,Choisissez une séquence à ajouter,"Wählen Sie eine Sequenz aus, die Sie hinzufügen möchten","Izvēlieties secību, kurai pievienot","Vyberte sekvenciu, ktorú chcete pridať",ជ្រើសរើសលំដាប់ដែលត្រូវបន្ថែមទៅ,Elija una secuencia para agregar,Escolha uma sequência para adicionar,Kies een reeks waaraan u wilt toevoegen
NEW - Explore / Content Library Page,Create new sequence,Utwórz nową sekwencję,สร้างลำดับใหม่,Créer une nouvelle séquence,Neue Sequenz erstellen,Izveidojiet jaunu secību,Vytvorte novú sekvenciu,បង្កើតលំដាប់ថ្មី។,Crear nueva secuencia,Criar nova sequência,Maak een nieuwe reeks
NEW - Explore / Content Library Page,Create new assignment,Utwórz nowe zadanie,สร้างงานใหม่,Créer une nouvelle mission,Neue Aufgabe erstellen,Izveidot jaunu uzdevumu,Vytvorte novú úlohu,បង្កើតកិច្ចការថ្មី។,Crear nueva tarea,Criar nova tarefa,Nieuwe opdracht aanmaken
NEW - Explore / Content Library Page,Choose an assignment or create a new one,Wybierz zadanie lub utwórz nowe,เลือกงานหรือสร้างงานใหม่,Choisissez une mission ou créez-en une nouvelle,Wählen Sie eine Aufgabe oder erstellen Sie eine neue,Izvēlieties uzdevumu vai izveidojiet jaunu,Vyberte úlohu alebo vytvorte novú,ជ្រើសរើសកិច្ចការ ឬបង្កើតកិច្ចការថ្មី។,Elige una tarea o crea una nueva,Escolha uma tarefa ou crie uma nova,Kies een opdracht of maak een nieuwe aan
NEW - Explore / Content Library Page,Back,Powrót,กลับ,Retour,Zurück,Atpakaļ,Späť,ត្រឡប់មកវិញ,Atrás,Voltar,Terug
NEW - Explore / Content Library Page,All content,Cała zawartość,เนื้อหาทั้งหมด,Tout le contenu,Alle Inhalte,Viss saturs,Všetok obsah,មាតិកាទាំងអស់។,Todo el contenido,Todo o conteúdo,Alle inhoud
NEW - Explore / Content Library Page,PILA content,Treść PIŁY,เนื้อหาเกี่ยวกับ พิลา,Contenu du PILA,PILA-Inhalte,PILA saturs,obsah PILA,មាតិកា PILA,Contenido PILA,Conteúdo PILA,PILA-inhoud
NEW - Explore / Content Library Page,Items,Przedmioty,รายการ,Articles,Artikel,Preces,Položky,ធាតុ,Artículos,Itens,Artikelen
NEW - Explore / Content Library Page,Untitled,Bez tytułu,ไม่มีชื่อ,Sans titre,Ohne Titel,Bez nosaukuma,Bez názvu,គ្មានចំណងជើង,Sin título,Sem título,Zonder titel
NEW - Explore / Content Library Page,Item,Przedmiot,รายการ,Article,Artikel,Vienums,Položka,ធាតុ,Artículo,Artigo,Artikel
NEW - Explore / Content Library Page,Sequence created successfully,Sekwencja została utworzona pomyślnie,สร้างลำดับสำเร็จแล้ว,Séquence créée avec succès,Sequenz erfolgreich erstellt,Secība ir veiksmīgi izveidota,Sekvencia bola úspešne vytvorená,លំដាប់ត្រូវបានបង្កើតដោយជោគជ័យ,Secuencia creada exitosamente,Sequência criada com sucesso,Reeks is succesvol gemaakt
NEW - Explore / Content Library Page,Sequence updated,Sekwencja zaktualizowana,อัปเดตลำดับแล้ว,Séquence mise à jour,Reihenfolge aktualisiert,Secība atjaunināta,Sekvencia bola aktualizovaná,បានធ្វើបច្ចុប្បន្នភាពជាបន្តបន្ទាប់,Secuencia actualizada,Sequência atualizada,Volgorde bijgewerkt
NEW - Explore / Content Library Page,Sequence deleted,Sekwencja usunięta,ลบลำดับแล้ว,Séquence supprimée,Sequenz gelöscht,Secība izdzēsta,Sekvencia bola odstránená,បានលុបលំដាប់,Secuencia eliminada,Sequência excluída,Reeks verwijderd
NEW - Explore / Content Library Page,item(s) added to sequence,element(y) dodany do sekwencji,รายการที่ถูกเพิ่มเข้าไปในลำดับ,élément(s) ajouté(s) à la séquence,Element(e) zur Sequenz hinzugefügt,vienums(-i) pievienoti secībai,položky pridané do sekvencie,ធាតុ (s) ត្រូវបានបន្ថែមទៅលំដាប់,elemento(s) agregado(s) a la secuencia,item(s) adicionado(s) à sequência,item(s) toegevoegd aan reeks
NEW - Explore / Content Library Page,Content successfully copied and modified,Treść została pomyślnie skopiowana i zmodyfikowana,คัดลอกและแก้ไขเนื้อหาสำเร็จแล้ว,Contenu copié et modifié avec succès,Inhalt erfolgreich kopiert und geändert,Saturs ir veiksmīgi nokopēts un pārveidots,Obsah bol úspešne skopírovaný a upravený,ខ្លឹមសារត្រូវបានចម្លង និងកែប្រែដោយជោគជ័យ,Contenido copiado y modificado correctamente,Conteúdo copiado e modificado com sucesso,Inhoud succesvol gekopieerd en gewijzigd
NEW - Explore / Content Library Page,Sequences,Sekwencje,ลำดับ,Séquences,Sequenzen,Secības,Sekvencie,លំដាប់,Secuencias,Sequências,Reeksen
NEW - Explore / Content Library Page,Delete,Usuń,ลบ,Supprimer,Löschen,Dzēst,Odstrániť,លុប,Eliminar,Excluir,Verwijderen
NEW - Explore / Content Library Page,Confirm delete sequence,Potwierdź sekwencję usuwania,ยืนยันลำดับการลบ,Confirmer la séquence de suppression,Bestätigen Sie die Löschsequenz,Apstipriniet dzēšanas secību,Potvrďte sekvenciu vymazania,បញ្ជាក់​លំដាប់​លុប,Confirmar secuencia de eliminación,Confirmar sequência de exclusão,Bevestig de verwijdervolgorde
NEW - Explore / Content Library Page,My content,Moja treść,เนื้อหาของฉัน,Mon contenu,Mein Inhalt,Mans saturs,Môj obsah,ខ្លឹមសាររបស់ខ្ញុំ,mi contenido,Meu conteúdo,Mijn inhoud
NEW - Sequence Card,New,Nowy,ใหม่,Nouveau,Neu,Jauns,Nové,ថ្មី។,Nuevo,Novo,Nieuw
NEW - Sequence Card,Last modified,Ostatnia modyfikacja,แก้ไขครั้งล่าสุด,Dernière modification,Zuletzt geändert,Pēdējoreiz modificēts,Naposledy upravené,កែប្រែចុងក្រោយ,Última modificación,Última modificação,Laatst gewijzigd
NEW - Sequence Card,View sequence content,Wyświetl zawartość sekwencji,ดูเนื้อหาลำดับ,Afficher le contenu de la séquence,Sequenzinhalt anzeigen,Skatīt secības saturu,Zobraziť obsah sekvencie,មើលមាតិកាលំដាប់,Ver contenido de secuencia,Ver conteúdo da sequência,Bekijk de inhoud van de reeks
NEW - Sequence Card,Edit sequence details,Edytuj szczegóły sekwencji,แก้ไขรายละเอียดลำดับ,Modifier les détails de la séquence,Bearbeiten Sie die Sequenzdetails,Rediģēt secības informāciju,Upravte podrobnosti sekvencie,កែសម្រួលព័ត៌មានលម្អិតនៃលំដាប់,Editar detalles de la secuencia,Editar detalhes da sequência,Bewerk reeksdetails
NEW - Sequence Card,Preview sequence,Podgląd sekwencji,ดูตัวอย่างลำดับ,Séquence d'aperçu,Vorschausequenz,Priekšskatījuma secība,Ukážka sekvencie,មើលលំដាប់,Secuencia de vista previa,Sequência de visualização,Voorbeeldreeks
NEW - Sequence Card,Delete sequence,Usuń sekwencję,ลบลำดับ,Supprimer la séquence,Sequenz löschen,Dzēst secību,Vymazať sekvenciu,លុប​លំដាប់,Eliminar secuencia,Excluir sequência,Reeks verwijderen
NEW - Sequence Card,Show items,Pokaż elementy,แสดงรายการ,Afficher les éléments,Artikel anzeigen,Rādīt vienumus,Zobraziť položky,បង្ហាញធាតុ,Mostrar elementos,Mostrar itens,Toon artikelen
NEW - Sequence Card,No items yet,Nie ma jeszcze żadnych elementów,ยังไม่มีรายการ,Aucun article pour l'instant,Noch keine Artikel,Vēl nav nevienas preces,Zatiaľ žiadne položky,មិនមានធាតុនៅឡើយទេ,Aún no hay artículos,Nenhum item ainda,Nog geen artikelen
NEW - Sequence Card,Remove item?,Usunąć element?,ลบรายการใช่ไหม,Supprimer l'élément ?,Artikel entfernen?,Vai noņemt vienumu?,Odstrániť položku?,លុបធាតុ?,¿Quitar artículo?,Remover item?,Artikel verwijderen?
NEW - Sequence Card,Are you sure you want to remove this item from the sequence? The item itself won't be deleted.,Czy na pewno chcesz usunąć ten element z sekwencji? Sam element nie zostanie usunięty.,คุณแน่ใจหรือไม่ว่าต้องการลบรายการนี้ออกจากลำดับ ตัวรายการจะไม่ถูกลบ,Êtes-vous sûr de vouloir supprimer cet élément de la séquence ? L'élément lui-même ne sera pas supprimé.,Möchten Sie dieses Element wirklich aus der Sequenz entfernen? Das Element selbst wird nicht gelöscht.,Vai tiešām vēlaties noņemt šo vienumu no secības? Pats vienums netiks dzēsts.,Naozaj chcete odstrániť túto položku zo sekvencie? Samotná položka sa neodstráni.,តើអ្នកប្រាកដថាចង់លុបធាតុនេះចេញពីលំដាប់ទេ? ធាតុខ្លួនឯងនឹងមិនត្រូវបានលុបទេ។,¿Está seguro de que desea eliminar este elemento de la secuencia? El elemento en sí no se eliminará.,Tem certeza de que deseja remover este item da sequência? O item em si não será excluído.,Weet u zeker dat u dit item uit de reeks wilt verwijderen? Het item zelf wordt niet verwijderd.
NEW - Copy & Modify Modal,Copy & modify content,Kopiuj i modyfikuj treść,คัดลอกและแก้ไขเนื้อหา,Copier et modifier le contenu,Inhalte kopieren und ändern,Kopēt un modificēt saturu,Kopírovať a upravovať obsah,ចម្លង និងកែប្រែខ្លឹមសារ,Copiar y modificar contenido,Copiar e modificar conteúdo,Kopieer en wijzig inhoud
NEW - Copy & Modify Modal,Preview details,Podgląd szczegółów,ดูตัวอย่างรายละเอียด,Détails de l'aperçu,Vorschaudetails,Priekšskatiet informāciju,Podrobnosti ukážky,មើលព័ត៌មានលម្អិត,Detalles de vista previa,Detalhes da visualização,Voorbeelddetails
NEW - Copy & Modify Modal,Step 1 of 2,Krok 1 z 2,ขั้นตอนที่ 1 จาก 2,Étape 1 sur 2,Schritt 1 von 2,1. darbība no 2,Krok 1 z 2,ជំហានទី 1 នៃ 2,Paso 1 de 2,Etapa 1 de 2,Stap 1 van 2
NEW - Copy & Modify Modal,Step 2 of 2,Krok 2 z 2,ขั้นตอนที่ 2 จาก 2,Étape 2 sur 2,Schritt 2 von 2,2. darbība no 2,Krok 2 z 2,ជំហានទី 2 នៃ 2,Paso 2 de 2,Etapa 2 de 2,Stap 2 van 2
NEW - Copy & Modify Modal,Create your own version of,Stwórz własną wersję,สร้างเวอร์ชันของคุณเอง,Créez votre propre version de,Erstellen Sie Ihre eigene Version von,Izveidojiet savu versiju,Vytvorte si vlastnú verziu,បង្កើតកំណែផ្ទាល់ខ្លួនរបស់អ្នក។,Crea tu propia versión de,Crie sua própria versão de,Maak je eigen versie van
NEW - Copy & Modify Modal,A copy will be created in your content library,Kopia zostanie utworzona w Twojej bibliotece treści,สำเนาจะถูกสร้างขึ้นในไลบรารีเนื้อหาของคุณ,Une copie sera créée dans votre bibliothèque de contenu,Eine Kopie wird in Ihrer Inhaltsbibliothek erstellt,Jūsu satura bibliotēkā tiks izveidota kopija,Vo vašej knižnici obsahu sa vytvorí kópia,ច្បាប់ចម្លងនឹងត្រូវបានបង្កើតនៅក្នុងបណ្ណាល័យមាតិការបស់អ្នក។,Se creará una copia en su biblioteca de contenido.,Uma cópia será criada em sua biblioteca de conteúdo,Er wordt een kopie gemaakt in uw inhoudsbibliotheek
NEW - Copy & Modify Modal,New Title,Nowy tytuł,ชื่อใหม่,Nouveau titre,Neuer Titel,Jauns nosaukums,Nový názov,ចំណងជើងថ្មី។,Nuevo título,Novo título,Nieuwe titel
NEW - Copy & Modify Modal,Copy of,Kopia,สำเนาของ,Copie de,Kopie von,kopija,Kópia z,ច្បាប់ចម្លងនៃ,copia de,Cópia de,Kopie van
